startdate,enddate,finished,q1,q5_1,q6,q7,q8,q9_1,q10_1,q11_1,q11_2,q12,q13_1,q13_2,q13_3,q13_4,q13_5,q14_1,q14_2,q14_3,q14_4,q16,q22_pagesubmit,q24_pagesubmit,q23_pagesubmit,q25_1,q26_1,q27_1,q28_1,q29_1
2016-06-19 20:19:29,2016-06-19 20:32:36,True,I agree,1989,Female,Single,"Black, Afro-Caribbean, or African American",United States,10,7,0,$0-$500,1,8.1,1,10,1,,,,,The Congress,185.642,,,5.1,8.1,7,7.1,5.5
2016-06-19 21:41:17,2016-06-19 21:49:32,True,I agree,1986,Male,Single,Non-Hispanic White or Euro-American,United States,8,3,0,$2001-$2500,2.9,5.1,2.1,8.3,2.8,,,,,The Supreme Court,,,165.263,5,6.1,7.2,3,3.3
2016-06-19 21:41:22,2016-06-19 21:50:47,True,I agree,1996,Male,Single,Non-Hispanic White or Euro-American,United States,6.4,2,0,$0-$500,8.5,8.1,3.9,9,7.7,Secretary of Defense,Mitch McConnell,John Glenn Roberts,Republicans,The Supreme Court,,248.858,,4.1,6.3,9.8,7.8,3.7
2016-06-19 21:57:20,2016-06-19 22:08:15,True,I agree,1991,Male,Married,Non-Hispanic White or Euro-American,United States,1,2,0,$1501-$2000,7.3,7.4,,8.9,8.5,Secretary of Defense,Mitch McConnell,John G. Roberts Jr.,Republican,The Supreme Court,,244.336,,8.3,5.5,1.7,8.3,4
2016-06-19 21:53:30,2016-06-19 22:20:46,True,I agree,1994,Male,Single,East Asian or Asian American,China,2,2,0,$0-$500,5.1,3.5,3.5,9,2.5,,Mitch McConnell ,,GOP,The Supreme Court,166.105,,,2,3.5,9.2,2.9,2.2
2016-06-19 23:48:25,2016-06-20 00:02:12,True,I agree,1974,Male,Married,Other,United States,10,3,0,$3001 and more,9,9,3,10,2,,McConnell,,Republicans,The Supreme Court,,,162.877,3,8,9,9.5,2
2016-06-20 03:55:17,2016-06-20 04:07:03,True,I agree,1986,Male,Single,Non-Hispanic White or Euro-American,United States,3,3,0,$1001-$1500,6,6,3,8,3,Secretary Of Defense,Mitch McConnel,,Republican,The Supreme Court,,242.26,,3,8,8,2,3.8
2016-06-20 05:44:03,2016-06-20 05:51:51,True,I agree,1995,Female,Single,Non-Hispanic White or Euro-American,United States,1,3,0,$1001-$1500,5.3,7.3,,9,5.9,US Secretary of Defense,Mitch McConnell,John Glover Roberts Jr,Republicans,The Supreme Court,163.464,,,2,8.9,10,8.9,1
2016-06-20 09:20:19,2016-06-20 09:26:14,True,I agree,1994,Male,Single,Non-Hispanic White or Euro-American,United States,1,2,0,$2501-$3000,8,8,,8,3,Secretary of Defense,MItch McConnell,John Roberts,GOP,The Supreme Court,,,164.038,6,9,4,8,3.1
2016-06-20 10:10:00,2016-06-20 10:15:21,True,I agree,1985,Male,Married,Non-Hispanic White or Euro-American,United States,3,3,0,$3001 and more,4,3.1,3.1,3,1,Secretary of Defense,Mitch Mcconnel,,Republican,The Supreme Court,161.994,,,6.1,4,6.1,8.2,7.2
2016-06-20 10:37:11,2016-06-20 10:51:50,True,I agree,1994,Female,Single,Non-Hispanic White or Euro-American,United States,6.2,4,0,$0-$500,5.6,8.1,,10,9.1,,mitch mcconnell,john roberts,republican,The Supreme Court,,426.576,,2,9.1,8.1,6,3.6
2016-06-20 12:24:40,2016-06-20 12:29:52,True,I agree,1995,Male,Single,Non-Hispanic White or Euro-American,United States,7.1,3,0,$501-$1000,8.1,8.1,4.3,10,10,,,,,The Congress,191.138,,,5.6,6.7,4.9,6.2,4.7
